Source,...2,BLUPs_RF,E1_RF,E2_RF,E4_RF,E5_RF
GP502-correlation- 5 - RF,E5,0.226276442,-0.148093342,-0.125805457,0.221038081,0.623592107
GP502-correlation- 6 - RF,E5,0.050482672,0.074401598,0.004858469,0.00426175,0.173738052
GP502-correlation- 7 - RF,E5,0.309732719,0.057667553,0.171180073,0.230163984,0.151310966
GP502-correlation- 8 - RF,E5,0.377032869,0.116681465,0.162695748,0.127847595,0.401867086
GP502-correlation- 9 - RF,E5,-0.093085612,-0.280238088,-0.406569295,-0.00139352,0.283316528
GP502-correlation- 10 - RF,E5,0.453279991,0.039245877,0.21724228,0.263721336,0.436845285
GP502-correlation- 11 - RF,E5,0.248190879,-0.030320809,0.088953857,0.248589937,0.267380236
GP502-correlation- 12 - RF,E5,0.316114076,0.245630343,0.085579783,0.155863245,0.557354731
GP502-correlation- 13 - RF,E5,0.371075792,0.073098604,-0.043675182,0.083290974,0.508822626
GP502-correlation- 14 - RF,E5,0.488626977,0.046189341,0.207177032,0.16479479,0.646416255
GP502-correlation- 15 - RF,E5,0.416435827,-0.010061676,0.111393221,0.028861888,0.563683131
GP502-correlation- 16 - RF,E5,-0.122807479,-0.136651252,-0.078155719,-0.154698727,0.074064587
GP502-correlation- 17 - RF,E5,0.618848936,0.478502899,0.448697798,0.352867074,0.459389903
GP502-correlation- 18 - RF,E5,0.373705177,0.024923052,0.250710501,0.471898488,0.293743957
GP502-correlation- 19 - RF,E5,0.254755124,0.02232552,0.063397574,-0.04020554,0.488715493
GP502-correlation- 20 - RF,E5,0.025891501,-0.147140694,-0.102320693,-0.089513097,0.246158886
GP502-correlation- 21 - RF,E5,0.298075351,-0.015750827,-0.10743987,-0.106294774,0.589602685
GP502-correlation- 22 - RF,E5,0.373911919,0.270460208,0.160081369,0.254708491,0.474865633
GP502-correlation- 23 - RF,E5,0.222140088,-0.139069187,-0.010170052,0.128817959,0.374717258
GP502-correlation- 24 - RF,E5,0.306477632,0.060477518,0.059676906,0.279322247,0.423477652
GP502-correlation- 25 - RF,E5,0.412143354,-0.079359362,0.066108687,0.218291578,0.591657259
GP502-correlation- 26 - RF,E5,0.3359366,0.093926775,0.311527628,-0.037670317,0.273369969
GP502-correlation- 27 - RF,E5,0.483327016,0.131455297,0.276708905,0.403638742,0.292821027
GP502-correlation- 28 - RF,E5,0.263957386,-0.143068803,0.135048171,0.229779569,0.266021332
GP502-correlation- 29 - RF,E5,0.194499021,-0.153556664,-0.049226355,0.121375685,0.534103501
GP502-correlation- 30 - RF,E5,0.250042915,-0.056535464,0.069547452,0.177668585,0.272792846
GP502-correlation- 31 - RF,E5,0.347172233,0.223947215,0.232142681,-0.106742253,0.372416092
GP502-correlation- 32 - RF,E5,0.101569893,-0.230394397,-0.049534604,0.126986938,0.346952031
GP502-correlation- 33 - RF,E5,0.230916364,-0.049978802,0.061179762,0.05183368,0.324562296
GP502-correlation- 34 - RF,E5,0.011533132,0.081962539,0.046785018,-0.009251787,0.190625651
GP502-correlation- 35 - RF,E5,0.037940358,0.071409379,-0.120234016,-0.055543752,0.208462693
GP502-correlation- 36 - RF,E5,0.360380877,0.093903603,-0.002048647,0.142330581,0.435102998
GP502-correlation- 37 - RF,E5,0.067081383,-0.162958583,-0.252269309,0.228296329,0.406351331
GP502-correlation- 38 - RF,E5,0.156848473,-0.086278121,-0.001801114,0.117696482,0.327051968
GP502-correlation- 39 - RF,E5,0.429001024,0.186693279,0.295122103,0.108919307,0.388023535
GP502-correlation- 40 - RF,E5,0.401465918,-0.072975937,0.040008274,0.359501347,0.407068087
